,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,DefaultData,Latitude,Longitude,ZipCode,log_SiteEnergyUse,log_TotalGHGEmissions
5097,2016,NonResidential,Other,2.0,SOUTHEAST,1921,2.0,41022.0,Other,Other,,3787648.25,26.41,False,47.545629999999996,-122.27616,98118.0,15.147256133963962,3.3109079103146946
5095,2016,NonResidential,Small- and Mid-Sized Office,3.0,EAST,1956,3.0,21282.0,Office,Office,69.0,1245923.75,62.23,False,47.60819,-122.32282,98122.0,14.035388583247363,4.146778872070522
5094,2016,NonResidential,Medical Office,3.0,EAST,1945,0.0,49250.5,"Medical Office, Parking",Medical Office,52.0,2551022.25,49.58,False,47.60862,-122.32372,98104.0,17.046770462586043,7.013078793955446
5093,2016,NonResidential,Other,3.0,EAST,1951,1.0,47699.0,"Museum, Parking",Museum,,14524386.0,49.58,False,47.60709,-122.32416,98104.0,16.491339656713567,6.570028255444994
5086,2016,NonResidential,Small- and Mid-Sized Office,3.0,EAST,1970,7.0,54372.0,"Office, Parking",Office,94.0,1403820.0,9.79,False,47.606629999999996,-122.32526000000001,98104.0,14.154708362562493,2.378619779270043
5085,2016,NonResidential,Residence Hall,3.0,EAST,1904,1.0,44086.0,Residence Hall/Dormitory,Residence Hall/Dormitory,29.0,3652708.75,184.0,False,47.6073,-122.32585,98104.0,15.110979847378418,5.220355825078324
5074,2016,NonResidential,Warehouse,1.0,GREATER DUWAMISH,1900,1.0,20200.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,,269016.6875,2.25,False,47.572790000000005,-122.35066,98134.0,14.752005111155329,3.923556241241819
5073,2016,NonResidential,Small- and Mid-Sized Office,1.0,GREATER DUWAMISH,1997,2.0,40657.0,"Office, Parking",Office,57.0,2826828.0,23.6,False,47.569990000000004,-122.34703,98134.0,14.854666146696264,3.202746442938317
5106,2016,NonResidential,Warehouse,5.0,NORTH,1977,1.0,21936.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,100.0,113130.0,2.69,False,47.72051,-122.30103000000001,98165.0,14.752005111155329,3.923556241241819
5305,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1936,1.0,38630.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33.0,416885.5938,2.91,False,47.58082,-122.32031,98134.0,14.752005111155329,3.923556241241819
5481,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1992,1.0,29394.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,60.0,1486681.75,26.27,False,47.57881,-122.33273,98134.0,14.212057853655269,3.305787196857497
5307,2016,NonResidential,Other,2.0,GREATER DUWAMISH,1960,1.0,24109.0,"Manufacturing/Industrial Plant, Parking",Manufacturing/Industrial Plant,,4747403.5,33.1,False,47.5793,-122.32226000000001,98134.0,15.373108605615805,3.529297384289471
5439,2016,NonResidential,Warehouse,2.0,GREATER DUWAMISH,1968,1.0,48280.0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,73.0,2701833.75,78.57,False,47.574659999999994,-122.33089,98134.0,14.809441637230846,4.3766371373894435
5438,2016,NonResidential,Retail Store,2.0,GREATER DUWAMISH,1975,1.0,43794.0,"Office, Retail Store",Retail Store,88.0,1164537.75,23.5,False,47.58801,-122.32943999999999,98134.0,13.967835643837052,3.1986731175506815
5437,2016,NonResidential,Small- and Mid-Sized Office,2.0,GREATER DUWAMISH,1913,4.0,53840.0,"Office, Parking",Office,71.0,2912454.75,46.85,False,47.595009999999995,-122.32852,98134.0,14.88450718360763,3.8680711178989635
5436,2016,NonResidential,Warehouse,3.0,EAST,1915,2.0,43200.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,38.0,1929851.5,49.18,False,47.614670000000004,-122.31777,98122.0,14.472954133090072,3.9156165409382764
5435,2016,NonResidential,Mixed Use Property,3.0,EAST,1913,1.0,36000.0,"Parking, Retail Store",Parking,59.0,1162163.125,26.52,False,47.613240000000005,-122.31723999999998,98122.0,13.965794449965674,3.314913013065143
5432,2016,NonResidential,Small- and Mid-Sized Office,3.0,EAST,1907,2.0,36000.0,"Office, Other",Office,95.0,1046187.625,18.04,False,47.61345,-122.3198,98122.0,13.860664237177453,2.9465420293632194
